subject_id,session_id,run_id,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,m_tsnr,outlier,qc_type,quality,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_fg,summary_p05_bg,summary_p05_fg,summary_p95_bg,summary_p95_fg,summary_stdv_bg,summary_stdv_fg
sub-1,0,task-objectviewing_run-01,20.5382147235,1.13441114833,0.96418403875,0.498316998561,61.9160766602,0.128130395173,0,0.0,9.13942,9.27807,10.0116,8.2185,0.0344487261181,0.0263264849782,0.00182213645894,105.5184021,0.00225223140496,func,0.00308252950413,121,40,64,64,4.90006657821,2.5,3.5,3.75,3.75,134.338302612,1675.11706543,2.85123944283,921.691268921,544.367752075,2167.55777588,173.108337402,360.003509521
sub-1,0,task-objectviewing_run-02,20.2901074327,1.07011291967,0.958670018083,0.496210635392,62.4536132812,0.112788891333,0,0.0,8.42814,8.5501,9.28996,7.53721,0.0178460680749,0.025638602674,0.00116841588169,94.1166381836,0.00210355371901,func,0.00412631760331,121,40,64,64,4.96698236034,2.5,3.5,3.75,3.75,132.912872314,1677.16418457,5.85123920441,946.8644104,540.661938477,2171.26936035,172.991073608,353.151489258
sub-1,0,task-objectviewing_run-03,20.8838179584,1.13132439892,0.998421188083,0.495523819335,62.421459198,0.121016953265,0,0.0,8.54412,8.54582,9.4288,7.7409,0.0275474816314,0.0246572252363,0.00115335825831,118.844551086,0.00262033057851,func,0.00237121727273,121,40,64,64,4.94294941524,2.5,3.5,3.75,3.75,132.182617188,1670.78808594,5.7933883667,937.723501587,542.691723633,2161.04956055,172.813873291,353.048736572
sub-1,0,task-objectviewing_run-04,21.4850065553,1.14758341875,1.00543124008,0.495055827938,62.278842926,0.111660415254,0,0.0,8.49092,8.58423,9.2739,7.68953,0.0248839953714,0.0241430457681,0.000856503844261,110.107208252,0.00285834710744,func,0.00275842636364,121,40,64,64,4.91087238206,2.5,3.5,3.75,3.75,132.539962769,1665.84606934,6.05785083771,927.648748779,543.966903687,2160.0871582,173.084350586,355.731384277
sub-1,0,task-objectviewing_run-05,21.9536986983,1.15658672317,0.993629382917,0.495619316507,62.399646759,0.126097009801,0,0.0,8.52511,8.70494,9.25686,7.68902,0.0240288844779,0.0256549213082,0.00109973561484,112.734222412,0.00182892561983,func,0.00265269520661,121,40,64,64,4.93587293544,2.5,3.5,3.75,3.75,131.559783936,1659.57019043,3.82644605637,926.487564087,540.374337769,2151.08465576,171.840621948,353.087097168
sub-1,0,task-objectviewing_run-06,24.5110716182,1.18060468567,0.99704635425,0.493929955977,61.1730194092,0.102265889781,0,0.0,7.90202,8.17458,8.5265,7.07909,0.0310501737043,0.024901157245,0.00169675191864,105.480644226,0.00198595041322,func,0.00309961942149,121,40,64,64,4.96280594892,2.5,3.5,3.75,3.75,131.89805603,1669.56640625,3.23966932297,956.347894287,545.58425293,2168.39750977,175.663101196,351.89755249
sub-1,0,task-objectviewing_run-07,27.0843958058,1.20059780792,0.992061352667,0.497300086812,60.2874298096,0.09181919705,0,0.0,7.92352,8.06555,8.53186,7.22899,0.0279601782807,0.024443987757,0.00218264968134,99.613067627,0.00215661157025,func,0.00354824264463,121,40,64,64,4.94424474719,2.5,3.5,3.75,3.75,134.783691406,1669.74584961,10.0330572128,955.457806396,550.702453613,2168.50495605,175.918884277,352.41973877
sub-1,0,task-objectviewing_run-09,26.0409138208,1.16404453175,0.979374010167,0.49994381623,61.1390762329,0.148925832042,0,0.0,8.49298,8.5569,9.25565,7.73493,0.0237770277607,0.0233069192618,0.00311832665466,89.485748291,0.00308479338843,func,0.00392596305785,121,40,64,64,4.93852791069,2.5,3.5,3.75,3.75,134.181015015,1660.57739258,5.49297513962,940.681378174,539.766104126,2151.87883301,171.530532837,352.912872314
sub-1,0,task-objectviewing_run-10,28.9626813727,1.19540067767,0.971763440583,0.50096092892,60.4368057251,0.163825539043,0,0.0,8.39898,8.4642,9.21236,7.59842,0.0252468388928,0.0238400939852,0.00274136057124,85.8325195312,0.00242752066116,func,0.00411584157025,121,40,64,64,4.98966015949,2.5,3.5,3.75,3.75,135.998931885,1661.14685059,7.3388428688,944.59954834,541.220623779,2151.97507324,172.648025513,348.620361328
sub-1,0,task-objectviewing_run-11,28.729613892,1.25853399975,1.00364113983,0.500792540431,60.8491096497,0.1493403508,0,0.0,8.50548,8.53619,9.39293,7.67418,0.0395170400951,0.0245992764831,0.00236397399567,103.637733459,0.00257628099174,func,0.00288673330579,121,40,64,64,4.92320164941,2.5,3.5,3.75,3.75,135.429199219,1655.75817871,6.14049577713,935.97434082,537.545410156,2155.19576416,171.406723022,352.930877686
sub-1,0,task-objectviewing_run-12,29.4526621021,1.2403813495,0.9918756355,0.501410232812,60.3702507019,0.161118691163,0,0.0,8.55301,8.5865,9.43092,7.72656,0.0432365945548,0.0249880328774,0.00314866588451,97.2671737671,0.00238438016529,func,0.00309097330579,121,40,64,64,4.92242610047,2.5,3.5,3.75,3.75,135.283370972,1652.28686523,5.6103302002,921.706573486,537.641305542,2145.20239258,171.751022339,352.041564941
